Date_Collected,Time_Collected,Site_ID,Reporting_Result
6/27/2017,9:45:00 AM,1NBS,260
6/27/2017,9:15:00 AM,2LARZ,92
6/27/2017,9:00:00 AM,3BU,76
6/27/2017,8:40:00 AM,4LONG,16
6/29/2017,9:28:00 AM,1NBS,232
6/29/2017,8:54:00 AM,2LARZ,332
6/29/2017,8:37:00 AM,3BU,124
6/29/2017,8:13:00 AM,4LONG,64
7/6/2017,9:53:00 AM,1NBS,150
7/6/2017,9:10:00 AM,2LARZ,50
7/6/2017,8:48:00 AM,3BU,80
7/6/2017,8:28:00 AM,4LONG,25
7/11/2017,9:27:00 AM,1NBS,200
7/11/2017,9:00:00 AM,2LARZ,70
7/11/2017,8:40:00 AM,3BU,60
7/11/2017,8:18:00 AM,4LONG,20
7/13/2017,9:47:00 AM,1NBS,1600
7/13/2017,9:13:00 AM,2LARZ,1600
7/13/2017,8:34:00 AM,3BU,1420
7/13/2017,8:21:00 AM,4LONG,80
7/18/2017,9:30:00 AM,1NBS,150
7/18/2017,9:05:00 AM,2LARZ,80
7/18/2017,8:54:00 AM,3BU,80
7/18/2017,8:40:00 AM,4LONG,10
7/20/2017,11:15:00 AM,1NBS,220
7/20/2017,10:10:00 AM,2LARZ,190
7/20/2017,9:29:00 AM,3BU,150
7/20/2017,9:12:00 AM,4LONG,10
7/25/2017,9:08:00 AM,1NBS,2300
7/25/2017,8:40:00 AM,2LARZ,810
7/25/2017,8:21:00 AM,3BU,540
7/25/2017,8:05:00 AM,4LONG,40
7/27/2017,9:13:00 AM,1NBS,180
7/27/2017,8:43:00 AM,2LARZ,130
7/27/2017,8:26:00 AM,3BU,80
7/27/2017,8:11:00 AM,4LONG,50
8/1/2017,9:07:00 AM,1NBS,110
8/1/2017,8:42:00 AM,2LARZ,60
8/1/2017,8:28:00 AM,3BU,30
8/1/2017,8:12:00 AM,4LONG,10
8/3/2017,9:13:00 AM,1NBS,8000
8/3/2017,8:45:00 AM,2LARZ,200
8/3/2017,8:30:00 AM,3BU,110
8/3/2017,8:13:00 AM,4LONG,20
8/8/2017,8:50:00 AM,1NBS,140
8/8/2017,8:23:00 AM,2LARZ,100
8/8/2017,8:12:00 AM,3BU,80
8/8/2017,8:00:00 AM,4LONG,15
8/10/2017,9:07:00 AM,1NBS,80
8/10/2017,8:41:00 AM,2LARZ,60
8/10/2017,8:23:00 AM,3BU,30
8/10/2017,8:10:00 AM,4LONG,15
8/15/2017,9:50:00 AM,1NBS,240
8/15/2017,9:20:00 AM,2LARZ,40
8/15/2017,9:07:00 AM,3BU,40
8/15/2017,8:51:00 AM,4LONG,150
8/22/2017,9:08:00 AM,1NBS,90
8/22/2017,8:38:00 AM,2LARZ,100
8/22/2017,8:24:00 AM,3BU,50
8/22/2017,8:07:00 AM,4LONG,90
8/24/2017,9:02:00 AM,1NBS,1600
8/24/2017,8:30:00 AM,2LARZ,1160
8/24/2017,8:13:00 AM,3BU,220
8/24/2017,8:00:00 AM,4LONG,80
8/29/2017,9:40:00 AM,1NBS,230
8/29/2017,9:10:00 AM,2LARZ,120
8/29/2017,8:55:00 AM,3BU,170
8/29/2017,8:35:00 AM,4LONG,20
8/31/2017,9:21:00 AM,1NBS,140
8/31/2017,8:43:00 AM,2LARZ,45
8/31/2017,8:28:00 AM,3BU,140
8/31/2017,8:10:00 AM,4LONG,20
9/7/2017,3:05:00 PM,1NBS,1600
9/7/2017,2:45:00 PM,2LARZ,640
9/7/2017,2:35:00 PM,3BU,1600
9/7/2017,2:23:00 PM,4LONG,100
9/12/2017,9:15:00 AM,1NBS,190
9/12/2017,8:51:00 AM,2LARZ,60
9/12/2017,8:35:00 AM,3BU,110
9/12/2017,8:17:00 AM,4LONG,80
9/14/2017,9:03:00 AM,1NBS,180
9/14/2017,8:41:00 AM,2LARZ,40
9/14/2017,8:26:00 AM,3BU,70
9/14/2017,8:07:00 AM,4LONG,15
9/19/2017,9:17:00 AM,1NBS,210
9/19/2017,8:56:00 AM,2LARZ,170
9/19/2017,8:42:00 AM,3BU,200
9/19/2017,8:28:00 AM,4LONG,70
9/21/2017,8:54:00 AM,1NBS,2100
9/21/2017,8:34:00 AM,2LARZ,240
9/21/2017,8:18:00 AM,3BU,380
9/21/2017,8:07:00 AM,4LONG,210
9/26/2017,8:44:00 AM,1NBS,220
9/26/2017,8:20:00 AM,2LARZ,40
9/26/2017,8:06:00 AM,3BU,60
9/26/2017,7:50:00 AM,4LONG,25
9/28/2017,9:00:00 AM,1NBS,100
9/28/2017,8:36:00 AM,2LARZ,60
9/28/2017,8:22:00 AM,3BU,70
9/28/2017,8:11:00 AM,4LONG,100
10/3/2017,8:28:00 AM,1NBS,40
10/3/2017,8:07:00 AM,2LARZ,110
10/3/2017,7:54:00 AM,3BU,40
10/3/2017,7:40:00 AM,4LONG,80
10/5/2017,8:52:00 AM,1NBS,110
10/5/2017,8:24:00 AM,2LARZ,40
10/5/2017,8:11:00 AM,3BU,40
10/5/2017,7:57:00 AM,4LONG,40
10/10/2017,9:04:00 AM,1NBS,1600
10/10/2017,8:41:00 AM,2LARZ,290
10/10/2017,8:26:00 AM,3BU,1140
10/10/2017,8:11:00 AM,4LONG,100
10/12/2017,8:53:00 AM,1NBS,270
10/12/2017,8:32:00 AM,2LARZ,170
10/12/2017,8:19:00 AM,3BU,800
10/12/2017,8:06:00 AM,4LONG,40
10/17/2017,9:09:00 AM,1NBS,220
10/17/2017,8:41:00 AM,2LARZ,160
10/17/2017,8:26:00 AM,3BU,400
10/17/2017,8:14:00 AM,4LONG,80
10/19/2017,10:09:00 AM,1NBS,190
10/19/2017,9:50:00 AM,2LARZ,60
10/19/2017,9:37:00 AM,3BU,1460
10/19/2017,9:22:00 AM,4LONG,30
6/26/2018,9:42:00 AM,1NBS,3200
6/26/2018,9:10:00 AM,2LARZ,1530
6/26/2018,8:50:00 AM,3BU,320
6/26/2018,8:03:00 AM,4LONG,120
6/28/2018,8:56:00 AM,1NBS,250
6/28/2018,8:35:00 AM,2LARZ,389
6/28/2018,8:23:00 AM,3BU,130
6/28/2018,8:07:00 AM,4LONG,40
7/3/2018,9:24:00 AM,1NBS,170
7/3/2018,8:51:00 AM,2LARZ,60
7/3/2018,8:35:00 AM,3BU,20
7/3/2018,8:12:00 AM,4LONG,20
7/5/2018,11:11:00 AM,1NBS,220
7/5/2018,10:46:00 AM,2LARZ,140
7/5/2018,10:30:00 AM,3BU,60
7/5/2018,10:10:00 AM,4LONG,20
7/10/2018,9:37:00 AM,1NBS,180
7/10/2018,9:09:00 AM,2LARZ,50
7/10/2018,8:45:00 AM,3BU,60
7/12/2018,11:03:00 AM,1NBS,80
7/12/2018,10:25:00 AM,2LARZ,50
7/12/2018,10:08:00 AM,3BU,70
7/12/2018,9:52:00 AM,4LONG,40
7/17/2018,9:38:00 AM,1NBS,340
7/17/2018,9:05:00 AM,2LARZ,20
7/17/2018,8:42:00 AM,3BU,50
7/17/2018,8:22:00 AM,4LONG,20
7/19/2018,9:30:00 AM,1NBS,410
7/19/2018,8:59:00 AM,2LARZ,820
7/19/2018,8:44:00 AM,3BU,480
7/19/2018,8:25:00 AM,4LONG,80
7/24/2018,9:23:00 AM,1NBS,300
7/24/2018,8:48:00 AM,2LARZ,140
7/24/2018,8:29:00 AM,3BU,360
7/24/2018,8:12:00 AM,4LONG,5
7/26/2018,9:15:00 AM,1NBS,620
7/26/2018,8:50:00 AM,2LARZ,240
7/26/2018,8:35:00 AM,3BU,200
7/26/2018,8:18:00 AM,4LONG,40
7/31/2018,9:06:00 AM,1NBS,220
7/31/2018,8:40:00 AM,2LARZ,90
7/31/2018,8:23:00 AM,3BU,30
7/31/2018,8:07:00 AM,4LONG,5
8/2/2018,10:12:00 AM,1NBS,100
8/2/2018,8:56:00 AM,2LARZ,60
8/2/2018,8:43:00 AM,3BU,30
8/2/2018,8:28:00 AM,4LONG,20
8/7/2018,9:28:00 AM,1NBS,130
8/7/2018,8:55:00 AM,2LARZ,150
8/7/2018,8:39:00 AM,3BU,80
8/7/2018,8:17:00 AM,4LONG,5
8/9/2018,8:55:00 AM,1NBS,2820
8/9/2018,8:30:00 AM,2LARZ,80
8/9/2018,8:16:00 AM,3BU,1550
8/9/2018,8:04:00 AM,4LONG,10
8/14/2018,9:30:00 AM,1NBS,800
8/14/2018,9:07:00 AM,2LARZ,270
8/14/2018,8:48:00 AM,3BU,470
8/14/2018,8:31:00 AM,4LONG,60
8/16/2018,9:01:00 AM,1NBS,140
8/16/2018,8:34:00 AM,2LARZ,600
8/16/2018,8:20:00 AM,3BU,760
8/16/2018,8:07:00 AM,4LONG,90
8/21/2018,9:15:00 AM,1NBS,140
8/21/2018,8:51:00 AM,2LARZ,300
8/21/2018,8:35:00 AM,3BU,80
8/21/2018,8:20:00 AM,4LONG,30
8/30/2018,9:22:00 AM,1NBS,90
8/30/2018,8:46:00 AM,2LARZ,200
8/30/2018,8:27:00 AM,3BU,390
8/30/2018,8:08:00 AM,4LONG,20
9/6/2018,9:25:01 AM,1NBS,140
9/6/2018,8:55:00 AM,2LARZ,50
9/6/2018,8:40:01 AM,3BU,700
9/6/2018,8:25:00 AM,4LONG,20
9/11/2018,9:48:01 AM,1NBS,3600
9/11/2018,9:25:00 AM,2LARZ,1500
9/11/2018,9:09:00 AM,3BU,5000
9/11/2018,8:54:00 AM,4LONG,60
9/13/2018,11:28:00 AM,1NBS,1600
9/13/2018,10:40:00 AM,2LARZ,600
9/13/2018,9:53:00 AM,3BU,520
9/13/2018,9:39:00 AM,4LONG,110
9/18/2018,9:18:00 AM,1NBS,1100
9/18/2018,8:51:00 AM,2LARZ,370
9/18/2018,8:38:00 AM,3BU,260
9/18/2018,8:23:00 AM,4LONG,70
9/20/2018,9:16:00 AM,1NBS,420
9/20/2018,8:34:00 AM,2LARZ,670
9/20/2018,8:36:00 AM,3BU,1400
9/20/2018,8:25:00 AM,4LONG,600
9/25/2018,9:45:00 AM,1NBS,80
9/25/2018,9:21:00 AM,2LARZ,120
9/25/2018,9:08:01 AM,3BU,60
9/25/2018,8:57:00 AM,4LONG,60
9/27/2018,8:45:00 AM,1NBS,650
9/27/2018,8:19:00 AM,2LARZ,1460
9/27/2018,8:05:00 AM,3BU,770
9/27/2018,7:51:00 AM,4LONG,780
10/2/2018,8:50:00 AM,1NBS,740
10/2/2018,8:27:00 AM,2LARZ,180
10/2/2018,8:10:00 AM,3BU,70
10/2/2018,7:58:00 AM,4LONG,150
10/4/2018,10:06:00 AM,1NBS,130
10/4/2018,9:39:00 AM,2LARZ,310
10/4/2018,9:19:00 AM,3BU,360
10/4/2018,9:01:00 AM,4LONG,160
10/9/2018,8:36:00 AM,1NBS,90
10/9/2018,8:13:00 AM,2LARZ,120
10/9/2018,8:00:00 AM,3BU,180
10/9/2018,8:36:00 AM,4LONG,130
10/11/2018,10:12:00 AM,1NBS,120
10/11/2018,9:43:00 AM,2LARZ,170
10/11/2018,9:28:00 AM,3BU,250
10/11/2018,9:12:00 AM,4LONG,100
10/16/2018,8:56:00 AM,1NBS,230
10/16/2018,8:25:00 AM,2LARZ,320
10/16/2018,8:15:00 AM,3BU,370
10/16/2018,7:56:00 AM,4LONG,310
10/18/2018,9:13:00 AM,1NBS,110
10/18/2018,8:55:00 AM,2LARZ,220
10/18/2018,8:34:00 AM,3BU,170
10/18/2018,8:11:00 AM,4LONG,230
6/25/2019,10:59:00 AM,1NBS,264
6/25/2019,10:22:00 AM,2LARZ,76
6/25/2019,10:00:00 AM,3BU,36
6/25/2019,9:30:00 AM,4LONG,56
6/27/2019,9:47:00 AM,1NBS,500
6/27/2019,9:15:00 AM,2LARZ,350
6/27/2019,8:58:00 AM,3BU,50
6/27/2019,8:43:00 AM,4LONG,20
7/2/2019,9:45:00 AM,1NBS,220
7/2/2019,9:18:00 AM,2LARZ,200
7/2/2019,9:05:00 AM,3BU,390
7/2/2019,8:48:00 AM,4LONG,20
7/9/2019,10:27:00 AM,1NBS,170
7/9/2019,9:52:00 AM,2LARZ,150
7/9/2019,9:37:00 AM,3BU,340
7/9/2019,9:13:00 AM,4LONG,30
7/11/2019,9:05:00 AM,1NBS,240
7/11/2019,8:41:00 AM,2LARZ,180
7/11/2019,8:29:00 AM,3BU,80
7/11/2019,8:10:00 AM,4LONG,20
7/16/2019,10:57:00 AM,1NBS,180
7/16/2019,10:18:00 AM,2LARZ,100
7/16/2019,10:02:00 AM,3BU,48
7/16/2019,9:40:00 AM,4LONG,5
7/18/2019,9:47:00 AM,1NBS,1600
7/18/2019,9:19:00 AM,2LARZ,350
7/18/2019,9:06:00 AM,3BU,360
7/18/2019,8:53:00 AM,4LONG,20
7/23/2019,9:06:00 AM,1NBS,1500
7/23/2019,8:43:00 AM,2LARZ,500
7/23/2019,8:32:00 AM,3BU,260
7/23/2019,8:19:00 AM,4LONG,15
7/25/2019,9:17:00 AM,1NBS,140
7/25/2019,8:55:00 AM,2LARZ,270
7/25/2019,8:43:00 AM,3BU,150
7/25/2019,8:25:00 AM,4LONG,20
7/30/2019,8:45:00 AM,2LARZ,100
7/30/2019,8:31:00 AM,3BU,30
7/30/2019,8:16:00 AM,4LONG,5
8/1/2019,9:06:00 AM,1NBS,1600
8/1/2019,8:49:00 AM,2LARZ,540
8/1/2019,8:38:00 AM,3BU,110
8/1/2019,8:24:00 AM,4LONG,2.5
8/6/2019,9:12:00 AM,1NBS,160
8/6/2019,8:45:00 AM,2LARZ,110
8/6/2019,8:33:00 AM,3BU,780
8/6/2019,8:22:00 AM,4LONG,10
8/8/2019,8:38:00 AM,1NBS,7000
8/8/2019,8:22:00 AM,2LARZ,18000
8/8/2019,8:08:00 AM,3BU,9000
8/8/2019,7:56:00 AM,4LONG,280
8/13/2019,9:08:00 AM,1NBS,180
8/13/2019,8:48:00 AM,2LARZ,160
8/13/2019,8:36:00 AM,3BU,80
8/13/2019,8:23:00 AM,4LONG,70
8/15/2019,8:45:00 AM,1NBS,210
8/15/2019,8:22:00 AM,2LARZ,120
8/15/2019,8:13:00 AM,3BU,100
8/15/2019,8:00:00 AM,4LONG,20
8/20/2019,9:10:00 AM,1NBS,90
8/20/2019,8:48:00 AM,2LARZ,100
8/20/2019,8:37:00 AM,3BU,50
8/20/2019,8:26:00 AM,4LONG,20
8/22/2019,9:52:00 AM,1NBS,440
8/22/2019,9:22:00 AM,2LARZ,80
8/22/2019,9:04:00 AM,3BU,190
8/22/2019,8:42:00 AM,4LONG,10
8/27/2019,10:30:00 AM,1NBS,110
8/27/2019,9:44:00 AM,2LARZ,40
8/27/2019,9:14:00 AM,3BU,20
